Timestamp,Turno,Grado,¿Cuántos alumnos en total asistieron a clase a este salón de clase el día de hoy?, ¿Se reportó HOY algún nuevo caso de Covid en alguna persona que haya usado este salón de clase  (personal docente o alumnos)?,¿Cuál de las siguientes opciones describe mejor el uso del cubre bocas en este salón de clase?,¿Cuál de las siguientes opciones describe mejor el uso del purificador el día de hoy?,¿Cuál es la razón por la que no fue usado o estuvo apagado temporalmente el purificador?,¿Cuál de las siguientes opciones describe mejor la situación de las ventanas de este salón de clase?,¿Por qué razón se decidió cerrar o mantener cerradas las ventanas durante la jornada escolar de hoy?,¿Cuál de las siguientes opciones describe mejor la situación de la puerta principal de este salón de clase?,¿Por qué razón se decidió cerrar o mantener cerrada la puerta durante la jornada escolar de hoy?,Grupo
9/20/2021 12:53:01,Matutino,6A,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se usó más de la mitad del tiempo,Hoy fue el primer doa de uso y llego al salón después de media jornada.,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,
9/20/2021 12:55:00,Matutino,2,9,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se usó más de la mitad del tiempo,Primer día,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,
9/20/2021 15:16:03,Matutino,5,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,
9/20/2021 15:17:00,Matutino,5,7,No,Más de la mitad de las personas en este salón utilizaron cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,
9/20/2021 15:23:29,Matutino,4 A,11,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se usó más de la mitad del tiempo,Aún no lo tenía armado ,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,
9/20/2021 15:40:30,Matutino,Primero ,13,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,
9/20/2021 17:44:50,Matutino,6B ,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,
9/20/2021 19:56:28,Matutino,Otro,12,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas más de la mitad del tiempo de la jornada escolar de hoy,Se tuvieron abiertas ,La puerta estuvo abierta menos de la mitad del tiempo de la jornada escolar de hoy,Por el ruido exterior ,Otro
9/20/2021 21:35:25,Matutino,3ro,11,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,B
9/21/2021 12:39:26,Matutino,6to,4,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/21/2021 13:50:29,Matutino,5to,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Otro
9/22/2021 8:34:46,Matutino,4to,12,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/22/2021 12:24:00,Matutino,5to,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Otro
9/22/2021 12:26:03,Matutino,4to,12,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/22/2021 12:42:51,Matutino,2do,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/22/2021 12:49:13,Matutino,6to,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/22/2021 17:57:32,Matutino,6to,5,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,B
9/22/2021 18:02:55,Matutino,1ro,14,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,C
9/22/2021 19:41:48,Matutino,3ro,12,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,B
9/23/2021 12:23:01,Matutino,6to,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/23/2021 15:32:44,Matutino,6to,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,B
9/23/2021 17:47:33,Matutino,5to,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Otro
9/23/2021 18:23:52,Matutino,2do,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/23/2021 18:56:10,Matutino,4to,13,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
